OBJECTID,STATEFP10,COUNTYFP10,GEOID10,NAME10,NAMELSAD10,totpop10,WFD,RDC_AAA,MNGWPD,MPO,MSA,F1HR_NA,F8HR_NA,Reg_Comm,Acres,Sq_Miles,Label,GlobalID,last_edite,ACSDT5Y2021.B19058-Data_NAME,ACSDT5Y2021.B19058-Data_B19058_001E,ACSDT5Y2021.B19058-Data_B19058_002E,ACSDT5Y2021.B19058-Data_B19058_002M,ACSDT5Y2021.B19058-Data_B19058_003E,ACSDT5Y2021.B19058-Data_B19058_003M
"69","13","199","13199",Meriwether,Meriwether County,"21992",N,N,N,N,Y,N,N,Three Rivers,323414.000000000000000,505.334014889999992,MERIWETHER,{0C1E48E5-A825-44A8-A87E-909FEA58A2A1},,"Meriwether County, Georgia","7895","1657","306","6238","378"
"70","13","217","13217",Newton,Newton County,"99958",N,N,N,Partial,Y,N,Y,Northeast Georgia,178654.000000000000000,279.147003170000005,NEWTON,{1F769E87-A151-4C25-A232-00FBB6CBFEED},,"Newton County, Georgia","39342","6014","673","33328","803"
"71","13","205","13205",Mitchell,Mitchell County,"23498",N,N,N,N,N,N,N,Southwest Georgia,328780.999999999941792,513.721008299999994,MITCHELL,{4703A79E-8222-4DCF-BF8B-476DF69F167C},,"Mitchell County, Georgia","7946","2619","361","5327","405"
"72","13","135","13135",Gwinnett,Gwinnett County,"805321",Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,279481.000000000000000,436.688995359999979,GWINNETT,{3BBB29C1-CFA9-4906-B2DA-6D86E4FB8DAD},,"Gwinnett County, Georgia","313172","23453","1467","289719","1801"
"73","13","133","13133",Greene,Greene County,"15994",N,N,N,N,N,N,N,Northeast Georgia,259978.000000000000000,406.214996340000027,GREENE,{B39D245F-639F-4437-A2A6-2B35C3417444},,"Greene County, Georgia","7324","714","168","6610","295"
"74","13","261","13261",Sumter,Sumter County,"32819",N,N,N,N,N,N,N,River Valley,315235.000000000058208,492.554992679999998,SUMTER,{F2152F4B-9DA6-4A23-91FF-BDB106343A61},,"Sumter County, Georgia","10825","2562","375","8263","492"
"75","13","243","13243",Randolph,Randolph County,"7719",N,N,N,N,N,N,N,River Valley,275724.000000000000000,430.819000239999980,RANDOLPH,{006D74B8-4B64-492A-BAAD-CF923E764E15},,"Randolph County, Georgia","2402","856","166","1546","219"
"76","13","119","13119",Franklin,Franklin County,"22084",N,N,N,N,N,N,N,Georgia Mountains,170525.000000000000000,266.446014400000024,FRANKLIN,{90A13E0D-41EC-437E-B1DF-65E0F66B586A},,"Franklin County, Georgia","8346","1286","252","7060","287"
"77","13","235","13235",Pulaski,Pulaski County,"12010",N,N,N,N,N,N,N,Middle Georgia,160756.000000000000000,251.182006840000014,PULASKI,{AA2DAF88-E6AB-4BE1-B531-A7BA55417771},,"Pulaski County, Georgia","3084","593","201","2491","346"
"78","13","027","13027",Brooks,Brooks County,"16243",N,N,N,N,N,N,N,Southern Georgia,318552.999999999941792,497.738006589999998,BROOKS,{68A5C241-8D02-41D4-A0E8-B1560DCF0CE2},,"Brooks County, Georgia","6004","1042","216","4962","302"
"79","13","055","13055",Chattooga,Chattooga County,"26015",N,N,N,N,N,N,N,Northwest Georgia,200695.000000000000000,313.585998539999991,CHATTOOGA,{DFD7AF90-CB9C-449E-9B69-871235851369},,"Chattooga County, Georgia","9189","1877","329","7312","343"
"80","13","005","13005",Bacon,Bacon County,"11096",N,N,N,N,N,N,N,Southern Georgia,183009.000000000000000,285.950988769999981,BACON,{86253CB1-B939-4D23-9DFF-2C420FE78199},,"Bacon County, Georgia","3874","601","172","3273","245"
"81","13","287","13287",Turner,Turner County,"8930",N,N,N,N,N,N,N,Southern Georgia,185562.000000000000000,289.941009520000023,TURNER,{756EE73A-9935-47B9-AA23-0E0CA7F9E899},,"Turner County, Georgia","3269","741","200","2528","242"
"82","13","185","13185",Lowndes,Lowndes County,"109233",N,N,N,N,N,N,N,Southern Georgia,326762.000000000000000,510.566009520000023,LOWNDES,{05D18CAE-4CCE-40B6-8BCA-D76DB368CCAA},,"Lowndes County, Georgia","42512","7416","878","35096","928"
"83","13","003","13003",Atkinson,Atkinson County,"8375",N,N,N,N,N,N,N,Southern Georgia,220539.000000000000000,344.592010500000015,ATKINSON,{3005BA95-23DA-44BC-B08A-80E02A660277},,"Atkinson County, Georgia","2968","570","144","2398","149"
"84","13","281","13281",Towns,Towns County,"10471",N,N,N,N,N,N,N,Georgia Mountains,110050.000000000000000,171.953994749999993,TOWNS,{BAE93DAB-8E71-44DC-A3E0-0BF72F77904E},,"Towns County, Georgia","5323","422","121","4901","352"
"85","13","251","13251",Screven,Screven County,"14593",N,N,N,N,N,N,N,Coastal Regional Commission,420264.999999999941792,656.664001460000009,SCREVEN,{192A8056-8500-484D-9F1F-FF4C683D6632},,"Screven County, Georgia","4707","689","134","4018","217"
"86","13","285","13285",Troup,Troup County,"67044",N,N,N,N,N,N,N,Three Rivers,285404.000000000000000,445.942993160000015,TROUP,{508E597B-8439-4F96-BA8E-4B5F018CB3C0},,"Troup County, Georgia","25216","4609","490","20607","656"
"87","13","175","13175",Laurens,Laurens County,"48434",N,N,N,N,N,N,N,Heart of Georgia Altamaha,523892.999999999941792,818.581970210000009,LAURENS,{C58FE63F-0E74-4E02-95D0-609CF2740D8C},,"Laurens County, Georgia","17366","3833","382","13533","553"
"88","13","111","13111",Fannin,Fannin County,"23682",N,N,N,N,N,N,N,Northwest Georgia,250807.000000000000000,391.885986329999980,FANNIN,{DDA9CEBF-AC90-491D-A59C-CF6626051D43},,"Fannin County, Georgia","11188","1389","279","9799","513"
"89","13","275","13275",Thomas,Thomas County,"44720",N,N,N,N,N,N,N,Southwest Georgia,353352.999999999941792,552.114013669999963,THOMAS,{95B6C347-3BCE-472D-B48C-F87673E7435E},,"Thomas County, Georgia","17817","3502","483","14315","615"
"90","13","121","13121",Fulton,Fulton County,"920581",N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,341906.000000000000000,534.229003909999960,FULTON,{44A3942A-9608-4E68-A927-A38721FF266D},,"Fulton County, Georgia","441958","54996","2322","386962","2672"
"91","13","043","13043",Candler,Candler County,"10998",N,N,N,N,N,N,N,Heart of Georgia Altamaha,159389.000000000000000,249.044998170000014,CANDLER,{A1003CD4-E916-4F58-A82C-9D91BC643391},,"Candler County, Georgia","4034","878","206","3156","242"
"92","13","037","13037",Calhoun,Calhoun County,"6694",N,N,N,N,N,N,N,Southwest Georgia,181462.000000000000000,283.533996580000007,CALHOUN,{224CCDA8-41B9-40B9-8444-A0F5458DFD5C},,"Calhoun County, Georgia","1457","498","95","959","120"
"93","13","007","13007",Baker,Baker County,"3451",N,N,N,N,N,N,N,Southwest Georgia,223407.000000000000000,349.074005129999989,BAKER,{58F5A8F1-0D97-4CEA-A1BC-A17B637A01CD},,"Baker County, Georgia","1201","158","70","1043","149"
"94","13","181","13181",Lincoln,Lincoln County,"7996",N,N,N,N,N,N,N,Central Savannah River Area,164740.000000000000000,257.406005859999993,LINCOLN,{03E63D7A-A977-42ED-B19E-F1E099E4580B},,"Lincoln County, Georgia","2953","371","87","2582","182"
"95","13","081","13081",Crisp,Crisp County,"23439",N,N,N,N,N,N,N,River Valley,179779.000000000000000,280.903991700000006,CRISP,{3B14D541-3E98-43CD-9E91-18177FD28631},,"Crisp County, Georgia","7651","2129","308","5522","346"
"96","13","153","13153",Houston,Houston County,"139900",N,N,N,N,N,N,N,Middle Georgia,243113.000000000000000,379.864990229999989,HOUSTON,{5A48AFDF-AB1F-4894-AE69-8F918A0F3BDE},,"Houston County, Georgia","59627","6641","797","52986","1001"
"97","13","227","13227",Pickens,Pickens County,"29431",N,N,N,N,Y,N,N,Northwest Georgia,148909.000000000000000,232.669998170000014,PICKENS,{A1F6DFDD-7168-4BF9-A01F-215DCC1E865D},,"Pickens County, Georgia","12646","1070","271","11576","423"
